"tab_code","表章項目","cat01_code","品目分類（2020年改定）","cat02_code","世帯区分","area_code","地域区分","time_code","時間軸（月次）","unit","value"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2020001111","2020年11月","1g","341"
"02","数量","010130050","135 カップ麺","03","二人以上の世帯（2000年〜）","00000","全国","2020001212","2020年12月","1g","470"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000101","2015年1月","1g","248"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000202","2015年2月","1g","229"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000303","2015年3月","1g","229"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000404","2015年4月","1g","230"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000505","2015年5月","1g","188"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000606","2015年6月","1g","174"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000707","2015年7月","1g","165"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000808","2015年8月","1g","193"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015000909","2015年9月","1g","243"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015001010","2015年10月","1g","279"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015001111","2015年11月","1g","261"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2015001212","2015年12月","1g","313"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000101","2016年1月","1g","261"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000202","2016年2月","1g","239"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000303","2016年3月","1g","254"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000404","2016年4月","1g","215"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000505","2016年5月","1g","184"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000606","2016年6月","1g","161"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000707","2016年7月","1g","154"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000808","2016年8月","1g","168"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016000909","2016年9月","1g","212"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016001010","2016年10月","1g","253"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016001111","2016年11月","1g","251"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2016001212","2016年12月","1g","256"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000101","2017年1月","1g","239"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000202","2017年2月","1g","213"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000303","2017年3月","1g","218"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000404","2017年4月","1g","194"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000505","2017年5月","1g","181"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000606","2017年6月","1g","172"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000707","2017年7月","1g","151"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000808","2017年8月","1g","178"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017000909","2017年9月","1g","232"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017001010","2017年10月","1g","264"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017001111","2017年11月","1g","251"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2017001212","2017年12月","1g","282"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000101","2018年1月","1g","247"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000202","2018年2月","1g","224"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000303","2018年3月","1g","226"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000404","2018年4月","1g","202"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000505","2018年5月","1g","194"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000606","2018年6月","1g","167"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000707","2018年7月","1g","157"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000808","2018年8月","1g","171"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018000909","2018年9月","1g","243"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018001010","2018年10月","1g","238"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018001111","2018年11月","1g","235"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2018001212","2018年12月","1g","257"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000101","2019年1月","1g","226"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000202","2019年2月","1g","226"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000303","2019年3月","1g","271"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000404","2019年4月","1g","210"
"02","数量","010130060","132 即席麺","03","二人以上の世帯（2000年〜）","00000","全国","2019000505","2019年5月","1g","192"
