"tab_code","表章項目","cat01_code","銘柄(2020年基準）","area_code","地域","time_code","時間軸（月）","unit","value"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000808","2020年8月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000707","2020年7月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000606","2020年6月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000505","2020年5月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000404","2020年4月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000303","2020年3月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000202","2020年2月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","05201","秋田市","2020000101","2020年1月","","390"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020001212","2020年12月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020001111","2020年11月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020001010","2020年10月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000909","2020年9月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000808","2020年8月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000707","2020年7月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000606","2020年6月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000505","2020年5月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000404","2020年4月","","443"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000303","2020年3月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000202","2020年2月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","06201","山形市","2020000101","2020年1月","","449"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020001212","2020年12月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020001111","2020年11月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020001010","2020年10月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000909","2020年9月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000808","2020年8月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000707","2020年7月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000606","2020年6月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000505","2020年5月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000404","2020年4月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000303","2020年3月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000202","2020年2月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07201","福島市","2020000101","2020年1月","","283"
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020001212","2020年12月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020001111","2020年11月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020001010","2020年10月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000909","2020年9月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000808","2020年8月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000707","2020年7月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000606","2020年6月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000505","2020年5月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000404","2020年4月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000303","2020年3月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000202","2020年2月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","07203","郡山市","2020000101","2020年1月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020001212","2020年12月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020001111","2020年11月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020001010","2020年10月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000909","2020年9月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000808","2020年8月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000707","2020年7月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000606","2020年6月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000505","2020年5月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000404","2020年4月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000303","2020年3月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000202","2020年2月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08201","水戸市","2020000101","2020年1月","","350"
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020001212","2020年12月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020001111","2020年11月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020001010","2020年10月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000909","2020年9月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000808","2020年8月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000707","2020年7月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000606","2020年6月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000505","2020年5月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000404","2020年4月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000303","2020年3月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000202","2020年2月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","08202","日立市","2020000101","2020年1月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020001212","2020年12月","","262"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020001111","2020年11月","","262"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020001010","2020年10月","","262"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000909","2020年9月","","262"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000808","2020年8月","","259"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000707","2020年7月","","259"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000606","2020年6月","","247"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000505","2020年5月","","247"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000404","2020年4月","","268"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000303","2020年3月","","268"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000202","2020年2月","","268"
"10","価格","02134","2134 ぎょうざ(外食)","09201","宇都宮市","2020000101","2020年1月","","268"
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020001212","2020年12月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020001111","2020年11月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020001010","2020年10月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020000909","2020年9月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020000808","2020年8月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020000707","2020年7月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020000606","2020年6月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020000505","2020年5月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020000404","2020年4月","","..."
"10","価格","02134","2134 ぎょうざ(外食)","09208","小山市","2020000303","2020年3月","","..."
